student_id,student_name,course_name,login_frequency_per_week,avg_session_duration_min,video_completion_pct,quiz_attempts,forum_posts,weekend_activity_pct,preferred_time_slot,engagement_tier,completed_course
S2016,Talha Rizvi,Business Analytics,4.9,50.7,83.8,10,9.0,43.1,Morning,High,Yes
S2074,Mariam Farooqui,Power BI & Tableau,3.9,64.2,97.5,10,3.0,43.8,Night,High,Yes
S2299,Zain Rashid,Data Science,1.6,13.9,42.8,3,0.0,17.5,Afternoon,Low,No
S2269,Talha Ansari,Power BI & Tableau,4.4,51.0,85.4,7,6.0,32.5,Evening,High,Yes
S2245,Ayesha Farooqui,Deep Learning Fundamentals,7.0,36.0,85.2,10,5.0,44.4,Night,High,Yes
S2283,Hina Ansari,Data Science,4.6,48.0,47.0,3,2.0,36.1,Afternoon,Medium,No
S2127,Bilal Rashid,Python for Beginners,6.1,69.9,91.4,8,12.0,40.3,Night,High,Yes
S2329,Adeel Chaudhry,Deep Learning Fundamentals,0.1,9.7,12.3,0,1.0,16.0,Morning,Low,No
S2377,Hamza Ansari,Machine Learning,1.0,18.0,61.5,6,1.0,51.1,Night,Medium,Yes
S2017,Nida Farooqui,Python for Beginners,2.5,40.0,53.6,3,4.0,13.2,Morning,Medium,Yes
S2186,Mariam Iqbal,SQL Mastery,4.0,23.0,58.1,4,0.0,64.0,Morning,Medium,No
S2126,Zain Warsi,SQL Mastery,5.3,49.8,87.9,9,5.0,57.6,Night,High,Yes
S2303,Amina Sheikh,Data Science,1.6,43.2,58.2,3,1.0,30.7,Afternoon,Medium,No
S2341,Fatima Baig,Power BI & Tableau,4.8,55.7,86.3,9,11.0,61.5,Afternoon,High,Yes
S2252,Laiba Ansari,Data Science,4.3,43.2,86.1,6,13.0,65.4,Morning,High,Yes
S2339,Sarah Qureshi,SQL Mastery,2.1,17.4,32.9,2,0.0,19.1,Afternoon,Low,No
S2289,Mahnoor Rashid,SQL Mastery,3.9,27.4,53.9,4,1.0,23.0,Night,Medium,Yes
S2308,Iqra Hashmi,Machine Learning,4.7,40.7,89.4,6,7.0,0.0,Night,High,Yes
S2062,Waqas Malik,Deep Learning Fundamentals,4.5,30.1,63.1,5,1.0,32.2,Night,Medium,Yes
S2321,Mahnoor Siddiqui,Python for Beginners,6.5,63.1,86.1,8,4.0,22.7,Evening,High,Yes
S2249,Ahmed Malik,Deep Learning Fundamentals,0.3,23.9,8.2,3,1.0,15.2,Morning,Low,No
S2385,Nida Sheikh,Power BI & Tableau,5.6,47.5,87.5,9,13.0,41.0,Afternoon,High,Yes
S2204,Imran Abbasi,SQL Mastery,0.5,29.2,31.0,0,0.0,16.1,Night,Low,Yes
S2350,Zoya Baig,Python for Beginners,3.4,37.5,45.6,6,2.0,27.1,Afternoon,Medium,No
S2256,Sana Ansari,Machine Learning,4.5,51.1,94.0,10,10.0,44.2,Afternoon,High,Yes
S2281,Talha Abbasi,SQL Mastery,1.6,19.7,20.1,0,1.0,26.3,Afternoon,Low,No
S2067,Faisal Rizvi,Business Analytics,2.7,47.8,64.8,5,5.0,36.4,Night,Medium,Yes
S2068,Waqas Hashmi,Deep Learning Fundamentals,0.3,17.8,16.2,1,1.0,14.8,Night,Low,No
S2143,Rabia Warsi,Data Science,1.3,22.9,17.4,3,1.0,11.5,Afternoon,Low,No
S2288,Omar Abbasi,Deep Learning Fundamentals,3.3,45.5,81.6,6,8.0,57.0,Afternoon,High,Yes
